freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.898e+02,2.200e+03,8.105e+03,1.099e+04
1.2,3.856e+03,1.182e+04,4.653e+04,6.220e+04
2.4,4.138e+03,1.197e+04,4.506e+04,6.117e+04
3.5,4.501e+03,1.287e+04,4.110e+04,5.848e+04
4.7,5.384e+03,1.294e+04,5.419e+04,7.252e+04
5.9,5.096e+03,1.584e+04,5.705e+04,7.799e+04
7.1,4.919e+03,1.664e+04,4.727e+04,6.883e+04
8.3,5.085e+03,1.325e+04,4.114e+04,5.948e+04
9.4,4.729e+03,1.363e+04,4.297e+04,6.133e+04
10.6,4.101e+03,1.605e+04,4.687e+04,6.702e+04
11.8,4.018e+03,1.544e+04,4.212e+04,6.158e+04
13.0,4.077e+03,1.473e+04,4.181e+04,6.062e+04
14.2,4.822e+03,1.349e+04,4.671e+04,6.502e+04
15.3,4.387e+03,1.306e+04,5.146e+04,6.890e+04
16.5,4.206e+03,1.230e+04,5.701e+04,7.352e+04
17.7,4.348e+03,1.462e+04,7.343e+04,9.239e+04
18.9,4.552e+03,1.596e+04,6.988e+04,9.039e+04
20.1,4.404e+03,1.609e+04,6.919e+04,8.969e+04
21.2,4.908e+03,1.434e+04,7.555e+04,9.480e+04
22.4,5.660e+03,1.401e+04,9.562e+04,1.153e+05
23.6,5.277e+03,1.623e+04,8.456e+04,1.061e+05
24.8,5.118e+03,1.525e+04,8.596e+04,1.063e+05
26.0,5.794e+03,1.598e+04,9.119e+04,1.130e+05
27.1,5.827e+03,1.809e+04,9.325e+04,1.172e+05
28.3,5.274e+03,1.781e+04,9.866e+04,1.217e+05
29.5,5.550e+03,2.026e+04,1.022e+05,1.281e+05
30.7,5.660e+03,2.204e+04,1.334e+05,1.611e+05
31.9,5.769e+03,2.000e+04,1.869e+05,2.126e+05
33.0,6.350e+03,1.817e+04,2.660e+05,2.905e+05
34.2,6.376e+03,2.111e+04,2.774e+05,3.048e+05
35.4,5.917e+03,2.220e+04,2.427e+05,2.708e+05
36.6,6.598e+03,1.919e+04,3.947e+05,4.205e+05
37.8,8.020e+03,2.246e+04,5.723e+05,6.028e+05
38.9,1.008e+04,3.212e+04,1.116e+06,1.158e+06
40.1,1.061e+04,3.106e+04,1.057e+06,1.099e+06
41.3,9.468e+03,3.206e+04,7.639e+05,8.055e+05
42.5,1.555e+04,3.571e+04,1.501e+06,1.552e+06
43.7,1.937e+04,3.473e+04,2.164e+06,2.218e+06
44.8,1.784e+04,3.422e+04,1.981e+06,2.033e+06
46.0,2.257e+04,3.472e+04,2.049e+06,2.106e+06
47.2,2.129e+04,2.706e+04,1.465e+06,1.513e+06
48.4,1.480e+04,2.835e+04,8.456e+05,8.887e+05
49.5,1.441e+04,2.864e+04,1.014e+06,1.057e+06
50.7,1.219e+04,3.240e+04,6.651e+05,7.097e+05
51.9,9.771e+03,3.159e+04,4.693e+05,5.106e+05
53.1,8.740e+03,2.777e+04,3.952e+05,4.317e+05
54.3,8.268e+03,2.819e+04,3.069e+05,3.434e+05
55.4,9.044e+03,2.946e+04,1.699e+05,2.084e+05
56.6,1.031e+04,3.549e+04,1.403e+05,1.861e+05
57.8,1.064e+04,3.515e+04,1.235e+05,1.693e+05
59.0,1.062e+04,3.476e+04,1.317e+05,1.771e+05
60.2,1.067e+04,3.347e+04,1.310e+05,1.752e+05
61.3,1.513e+04,4.034e+04,1.606e+05,2.160e+05
62.5,1.842e+04,4.028e+04,1.653e+05,2.240e+05
63.7,1.745e+04,3.502e+04,1.307e+05,1.832e+05
64.9,2.043e+04,3.737e+04,1.300e+05,1.878e+05
66.1,2.202e+04,4.007e+04,1.304e+05,1.925e+05
67.2,1.731e+04,4.346e+04,1.217e+05,1.825e+05
68.4,1.402e+04,3.749e+04,8.641e+04,1.379e+05
69.6,1.528e+04,3.210e+04,9.403e+04,1.414e+05
70.8,1.709e+04,3.817e+04,9.569e+04,1.509e+05
72.0,1.780e+04,3.304e+04,7.458e+04,1.254e+05
73.1,1.912e+04,3.421e+04,6.766e+04,1.210e+05
74.3,1.860e+04,4.031e+04,5.350e+04,1.124e+05
75.5,2.282e+04,4.645e+04,6.561e+04,1.349e+05
76.7,2.745e+04,6.333e+04,8.046e+04,1.712e+05
77.9,2.202e+04,6.836e+04,6.677e+04,1.571e+05
79.0,1.888e+04,5.806e+04,6.548e+04,1.424e+05
80.2,1.749e+04,5.960e+04,6.812e+04,1.452e+05
81.4,1.944e+04,5.343e+04,6.085e+04,1.337e+05
82.6,1.686e+04,5.538e+04,5.735e+04,1.296e+05
83.8,1.559e+04,5.874e+04,5.537e+04,1.297e+05
84.9,1.771e+04,6.927e+04,5.979e+04,1.468e+05
86.1,1.977e+04,7.008e+04,6.214e+04,1.520e+05
87.3,1.898e+04,8.022e+04,5.565e+04,1.549e+05
88.5,1.573e+04,7.693e+04,5.273e+04,1.454e+05
89.7,1.542e+04,7.849e+04,5.133e+04,1.452e+05
90.8,2.022e+04,9.684e+04,5.515e+04,1.722e+05
92.0,2.463e+04,1.025e+05,6.300e+04,1.901e+05
93.2,2.668e+04,1.061e+05,5.865e+04,1.915e+05
94.4,2.485e+04,1.061e+05,4.895e+04,1.799e+05
95.6,2.129e+04,6.044e+04,3.946e+04,1.212e+05
96.7,2.439e+04,5.333e+04,4.301e+04,1.207e+05
97.9,2.697e+04,6.941e+04,4.330e+04,1.397e+05
99.1,2.537e+04,6.314e+04,3.785e+04,1.264e+05
100.3,2.560e+04,7.406e+04,4.885e+04,1.485e+05
101.5,2.597e+04,7.148e+04,5.075e+04,1.482e+05
102.6,3.022e+04,6.923e+04,4.237e+04,1.418e+05
103.8,2.661e+04,7.488e+04,4.090e+04,1.424e+05
105.0,2.420e+04,7.901e+04,4.486e+04,1.481e+05
106.2,3.115e+04,8.153e+04,4.232e+04,1.550e+05
107.4,2.661e+04,7.144e+04,3.868e+04,1.367e+05
108.5,2.444e+04,6.687e+04,3.469e+04,1.260e+05
