freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.827e+01,1.088e+02,3.401e+02,5.072e+02
1.5,1.172e+02,1.891e+02,3.108e+02,6.172e+02
3.1,1.130e+02,2.087e+02,1.698e+02,4.915e+02
4.6,1.084e+02,2.311e+02,4.710e+02,8.105e+02
6.1,1.063e+02,2.451e+02,1.391e+03,1.743e+03
7.7,8.979e+01,2.500e+02,2.087e+03,2.427e+03
9.2,1.057e+02,2.213e+02,2.705e+03,3.032e+03
10.7,1.116e+02,2.161e+02,3.665e+03,3.992e+03
12.2,1.201e+02,2.052e+02,4.861e+03,5.186e+03
13.8,1.144e+02,2.097e+02,6.317e+03,6.641e+03
15.3,1.160e+02,2.088e+02,7.955e+03,8.280e+03
16.8,1.174e+02,2.013e+02,9.727e+03,1.005e+04
18.4,1.189e+02,2.176e+02,1.159e+04,1.192e+04
19.9,1.189e+02,2.643e+02,1.423e+04,1.461e+04
21.4,1.333e+02,3.101e+02,1.767e+04,1.811e+04
23.0,1.487e+02,2.745e+02,2.113e+04,2.155e+04
24.5,1.504e+02,2.153e+02,2.522e+04,2.558e+04
26.0,1.484e+02,2.107e+02,2.997e+04,3.033e+04
27.6,1.549e+02,2.437e+02,3.558e+04,3.598e+04
29.1,1.749e+02,2.466e+02,4.265e+04,4.307e+04
30.6,1.885e+02,2.741e+02,5.081e+04,5.127e+04
32.1,2.434e+02,2.893e+02,6.054e+04,6.108e+04
33.7,3.184e+02,3.042e+02,7.265e+04,7.327e+04
35.2,4.555e+02,3.629e+02,9.323e+04,9.405e+04
36.7,4.853e+02,4.247e+02,1.004e+05,1.013e+05
38.3,3.144e+02,3.631e+02,8.934e+04,9.002e+04
39.8,2.096e+02,3.032e+02,7.653e+04,7.704e+04
41.3,2.173e+02,3.108e+02,6.848e+04,6.901e+04
42.9,3.268e+02,3.629e+02,6.044e+04,6.113e+04
44.4,4.968e+02,5.377e+02,5.386e+04,5.489e+04
45.9,5.690e+02,6.980e+02,5.009e+04,5.135e+04
47.5,6.681e+02,7.495e+02,4.948e+04,5.090e+04
