freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.559e+03,4.473e+02,2.036e+02,7.210e+03
1.2,2.921e+04,2.315e+03,9.329e+02,3.246e+04
2.4,3.109e+04,2.869e+03,1.262e+03,3.522e+04
3.5,3.717e+04,3.182e+03,1.465e+03,4.181e+04
4.7,3.549e+04,2.865e+03,1.345e+03,3.970e+04
5.9,3.765e+04,2.738e+03,1.215e+03,4.160e+04
7.1,5.075e+04,3.052e+03,1.132e+03,5.493e+04
8.3,4.317e+04,2.991e+03,1.164e+03,4.732e+04
9.5,4.986e+04,2.907e+03,1.328e+03,5.409e+04
10.6,5.326e+04,2.761e+03,1.284e+03,5.731e+04
11.8,4.676e+04,2.951e+03,1.264e+03,5.097e+04
13.0,4.837e+04,2.951e+03,1.273e+03,5.259e+04
14.2,6.309e+04,3.097e+03,1.267e+03,6.745e+04
15.4,5.477e+04,3.257e+03,1.254e+03,5.928e+04
16.6,5.486e+04,3.429e+03,1.214e+03,5.950e+04
17.7,5.220e+04,2.918e+03,1.365e+03,5.648e+04
18.9,4.449e+04,3.506e+03,1.332e+03,4.932e+04
20.1,4.834e+04,3.677e+03,1.249e+03,5.326e+04
21.3,5.169e+04,3.542e+03,1.450e+03,5.668e+04
22.5,4.975e+04,3.453e+03,1.322e+03,5.452e+04
23.7,4.864e+04,3.123e+03,1.120e+03,5.288e+04
24.8,5.116e+04,2.989e+03,1.198e+03,5.534e+04
26.0,5.285e+04,3.085e+03,1.132e+03,5.707e+04
27.2,6.899e+04,3.445e+03,1.234e+03,7.367e+04
28.4,7.080e+04,3.557e+03,1.418e+03,7.578e+04
29.6,7.660e+04,2.923e+03,1.509e+03,8.104e+04
30.8,8.006e+04,3.111e+03,1.378e+03,8.455e+04
31.9,8.205e+04,3.138e+03,1.404e+03,8.659e+04
33.1,9.068e+04,3.383e+03,1.678e+03,9.574e+04
34.3,9.965e+04,4.620e+03,1.984e+03,1.063e+05
35.5,1.215e+05,4.389e+03,1.758e+03,1.277e+05
36.7,1.265e+05,3.651e+03,1.833e+03,1.320e+05
37.9,1.073e+05,3.352e+03,1.668e+03,1.123e+05
39.0,1.049e+05,4.393e+03,1.668e+03,1.110e+05
40.2,1.475e+05,4.394e+03,1.950e+03,1.538e+05
41.4,1.294e+05,3.558e+03,1.727e+03,1.347e+05
42.6,8.338e+04,3.384e+03,1.848e+03,8.861e+04
43.8,1.396e+05,3.692e+03,1.775e+03,1.451e+05
45.0,1.781e+05,3.897e+03,1.927e+03,1.839e+05
46.1,1.797e+05,4.507e+03,2.268e+03,1.865e+05
47.3,2.218e+05,4.029e+03,2.407e+03,2.282e+05
48.5,1.830e+05,3.460e+03,1.889e+03,1.884e+05
49.7,2.557e+05,4.295e+03,1.866e+03,2.618e+05
50.9,3.397e+05,5.560e+03,2.194e+03,3.475e+05
52.1,3.817e+05,5.608e+03,2.707e+03,3.900e+05
53.2,5.244e+05,5.826e+03,4.165e+03,5.344e+05
54.4,6.289e+05,6.635e+03,6.499e+03,6.421e+05
55.6,5.678e+05,5.843e+03,6.528e+03,5.802e+05
56.8,4.978e+05,6.886e+03,5.493e+03,5.101e+05
58.0,8.939e+05,1.051e+04,9.745e+03,9.141e+05
59.2,1.050e+06,1.090e+04,1.363e+04,1.075e+06
60.3,8.733e+05,1.018e+04,1.219e+04,8.957e+05
61.5,5.331e+05,8.977e+03,8.637e+03,5.507e+05
62.7,5.517e+05,7.439e+03,7.670e+03,5.669e+05
63.9,3.457e+05,6.447e+03,4.524e+03,3.566e+05
65.1,2.772e+05,6.246e+03,4.225e+03,2.877e+05
66.3,1.952e+05,7.261e+03,4.447e+03,2.069e+05
67.4,1.130e+05,7.720e+03,4.050e+03,1.248e+05
68.6,1.247e+05,8.120e+03,5.818e+03,1.387e+05
69.8,1.257e+05,9.128e+03,6.532e+03,1.414e+05
71.0,1.053e+05,1.005e+04,6.540e+03,1.219e+05
72.2,1.104e+05,8.892e+03,5.509e+03,1.248e+05
73.4,1.058e+05,9.660e+03,6.152e+03,1.216e+05
74.5,1.141e+05,9.849e+03,6.137e+03,1.300e+05
75.7,1.158e+05,1.013e+04,5.800e+03,1.317e+05
76.9,1.436e+05,1.202e+04,6.024e+03,1.616e+05
78.1,1.304e+05,1.118e+04,4.889e+03,1.465e+05
79.3,1.162e+05,8.877e+03,4.097e+03,1.292e+05
80.5,1.072e+05,8.704e+03,3.687e+03,1.196e+05
81.6,1.315e+05,1.252e+04,4.446e+03,1.485e+05
82.8,1.202e+05,1.354e+04,4.478e+03,1.382e+05
84.0,1.247e+05,1.311e+04,5.257e+03,1.431e+05
85.2,1.070e+05,1.200e+04,5.261e+03,1.243e+05
86.4,1.313e+05,1.638e+04,7.643e+03,1.553e+05
87.5,1.422e+05,1.877e+04,8.342e+03,1.693e+05
88.7,1.290e+05,1.754e+04,6.251e+03,1.528e+05
89.9,1.144e+05,1.470e+04,4.917e+03,1.341e+05
91.1,1.319e+05,1.378e+04,5.162e+03,1.508e+05
92.3,1.553e+05,1.511e+04,6.275e+03,1.767e+05
93.5,2.049e+05,2.495e+04,8.975e+03,2.388e+05
94.6,1.248e+05,1.828e+04,6.687e+03,1.498e+05
95.8,1.291e+05,1.996e+04,7.784e+03,1.568e+05
97.0,1.263e+05,1.965e+04,7.513e+03,1.535e+05
98.2,1.412e+05,2.281e+04,7.352e+03,1.714e+05
99.4,1.126e+05,1.900e+04,5.560e+03,1.372e+05
100.6,1.022e+05,1.684e+04,4.674e+03,1.237e+05
101.7,1.140e+05,1.960e+04,5.061e+03,1.386e+05
102.9,9.566e+04,1.593e+04,4.807e+03,1.164e+05
104.1,9.684e+04,1.667e+04,4.852e+03,1.184e+05
105.3,1.182e+05,2.244e+04,4.893e+03,1.456e+05
106.5,1.172e+05,1.979e+04,5.288e+03,1.422e+05
107.7,1.155e+05,1.955e+04,5.891e+03,1.410e+05
108.8,1.043e+05,2.227e+04,5.761e+03,1.324e+05
110.0,8.701e+04,2.073e+04,4.228e+03,1.120e+05
111.2,6.563e+04,1.756e+04,4.053e+03,8.724e+04
112.4,7.490e+04,2.255e+04,4.521e+03,1.020e+05
113.6,8.552e+04,2.106e+04,3.992e+03,1.106e+05
114.8,8.606e+04,2.069e+04,3.713e+03,1.105e+05
115.9,8.311e+04,1.715e+04,3.649e+03,1.039e+05
117.1,8.526e+04,1.935e+04,4.199e+03,1.088e+05
118.3,8.280e+04,2.028e+04,4.126e+03,1.072e+05
119.5,9.328e+04,1.965e+04,4.277e+03,1.172e+05
120.7,1.110e+05,2.212e+04,5.435e+03,1.385e+05
121.9,1.064e+05,2.143e+04,4.502e+03,1.323e+05
123.0,8.085e+04,1.673e+04,3.708e+03,1.013e+05
124.2,7.204e+04,1.560e+04,3.826e+03,9.147e+04
125.4,7.867e+04,1.583e+04,4.412e+03,9.891e+04
126.6,6.509e+04,1.318e+04,3.666e+03,8.194e+04
127.8,6.778e+04,1.457e+04,3.692e+03,8.604e+04
129.0,6.856e+04,1.639e+04,4.016e+03,8.897e+04
130.1,6.593e+04,1.591e+04,4.002e+03,8.585e+04
131.3,6.955e+04,1.771e+04,4.070e+03,9.134e+04
132.5,8.439e+04,2.249e+04,4.124e+03,1.110e+05
133.7,9.252e+04,2.259e+04,5.064e+03,1.202e+05
134.9,7.371e+04,2.290e+04,4.273e+03,1.009e+05
136.1,7.930e+04,2.434e+04,4.593e+03,1.082e+05
137.2,8.926e+04,2.503e+04,5.110e+03,1.194e+05
138.4,7.699e+04,2.369e+04,4.964e+03,1.056e+05
139.6,8.161e+04,1.771e+04,4.429e+03,1.038e+05
140.8,9.711e+04,2.282e+04,4.835e+03,1.248e+05
142.0,9.743e+04,2.502e+04,5.486e+03,1.279e+05
143.2,8.627e+04,2.402e+04,5.396e+03,1.157e+05
144.3,7.887e+04,2.284e+04,4.744e+03,1.065e+05
145.5,8.740e+04,2.543e+04,5.086e+03,1.179e+05
146.7,8.084e+04,2.414e+04,4.540e+03,1.095e+05
147.9,7.085e+04,2.080e+04,4.589e+03,9.624e+04
149.1,6.486e+04,2.078e+04,5.106e+03,9.075e+04
150.3,9.052e+04,3.095e+04,5.250e+03,1.267e+05
151.4,9.476e+04,3.386e+04,5.316e+03,1.339e+05
152.6,1.044e+05,2.680e+04,6.512e+03,1.377e+05
153.8,1.044e+05,3.002e+04,7.474e+03,1.419e+05
155.0,9.897e+04,3.641e+04,6.875e+03,1.423e+05
156.2,1.247e+05,4.923e+04,8.688e+03,1.826e+05
157.4,1.125e+05,4.439e+04,1.023e+04,1.672e+05
158.5,9.756e+04,4.506e+04,9.541e+03,1.522e+05
159.7,9.721e+04,4.392e+04,9.885e+03,1.510e+05
