freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.767e+01,3.195e+02,1.533e+01,3.825e+02
1.5,4.622e+01,1.891e+02,4.098e+01,2.763e+02
3.1,2.759e+01,2.229e+01,4.042e+01,9.030e+01
4.6,3.453e+01,3.018e+02,3.749e+01,3.739e+02
6.1,3.774e+01,1.170e+03,3.961e+01,1.247e+03
7.6,4.176e+01,1.992e+03,5.217e+01,2.086e+03
9.2,3.649e+01,2.908e+03,5.962e+01,3.004e+03
10.7,3.047e+01,4.059e+03,5.898e+01,4.148e+03
12.2,3.440e+01,5.593e+03,6.521e+01,5.693e+03
13.8,3.393e+01,7.807e+03,7.749e+01,7.919e+03
15.3,3.696e+01,1.045e+04,1.092e+02,1.060e+04
16.8,4.780e+01,1.157e+04,1.379e+02,1.176e+04
18.3,4.561e+01,1.226e+04,1.076e+02,1.241e+04
19.9,6.916e+01,1.585e+04,8.781e+01,1.601e+04
21.4,1.601e+02,1.987e+04,1.044e+02,2.013e+04
22.9,1.733e+02,2.312e+04,1.020e+02,2.339e+04
24.5,1.162e+02,2.906e+04,8.054e+01,2.926e+04
26.0,8.070e+01,3.813e+04,7.384e+01,3.828e+04
27.5,6.863e+01,5.075e+04,8.199e+01,5.090e+04
29.0,4.523e+01,6.286e+04,8.564e+01,6.299e+04
30.6,3.119e+01,8.159e+04,8.897e+01,8.171e+04
32.1,3.604e+01,1.194e+05,1.347e+02,1.196e+05
33.6,4.830e+01,1.852e+05,4.514e+02,1.857e+05
35.2,1.817e+02,2.930e+05,3.770e+03,2.970e+05
36.7,1.267e+03,4.012e+05,7.219e+03,4.097e+05
38.2,7.610e+03,4.336e+05,6.213e+03,4.474e+05
39.7,2.959e+04,3.775e+05,6.537e+03,4.136e+05
41.3,5.853e+04,2.783e+05,6.348e+03,3.432e+05
42.8,6.989e+04,1.982e+05,5.511e+03,2.736e+05
44.3,6.415e+04,1.426e+05,3.956e+03,2.107e+05
45.9,3.305e+04,1.193e+05,3.916e+03,1.562e+05
47.4,1.230e+04,9.227e+04,3.154e+03,1.077e+05
48.9,8.311e+03,6.021e+04,2.333e+03,7.086e+04
50.4,2.197e+04,4.939e+04,5.291e+03,7.665e+04
52.0,8.290e+04,1.013e+05,8.271e+03,1.924e+05
53.5,7.676e+04,9.592e+04,1.136e+04,1.840e+05
55.0,1.767e+04,3.653e+04,1.198e+04,6.618e+04
56.6,1.141e+04,2.152e+04,7.334e+03,4.027e+04
58.1,3.362e+04,1.971e+04,6.094e+03,5.942e+04
59.6,7.217e+04,7.632e+04,8.396e+03,1.569e+05
61.1,1.032e+05,1.792e+05,1.180e+04,2.941e+05
62.7,1.206e+05,2.651e+05,1.858e+04,4.043e+05
64.2,1.306e+05,3.306e+05,2.284e+04,4.840e+05
65.7,1.365e+05,3.613e+05,1.831e+04,5.161e+05
67.3,1.357e+05,3.518e+05,1.055e+04,4.980e+05
68.8,1.257e+05,3.299e+05,6.234e+03,4.618e+05
70.3,1.131e+05,3.090e+05,5.829e+03,4.279e+05
71.8,9.236e+04,2.661e+05,8.070e+03,3.665e+05
73.4,7.075e+04,2.224e+05,9.128e+03,3.022e+05
74.9,6.212e+04,2.163e+05,6.455e+03,2.849e+05
76.4,6.138e+04,2.381e+05,5.100e+03,3.045e+05
78.0,6.226e+04,2.663e+05,8.994e+03,3.376e+05
79.5,6.370e+04,2.776e+05,1.389e+04,3.551e+05
81.0,6.152e+04,2.620e+05,1.567e+04,3.392e+05
82.5,5.499e+04,2.241e+05,1.435e+04,2.935e+05
84.1,4.931e+04,1.912e+05,1.394e+04,2.544e+05
85.6,4.536e+04,1.689e+05,1.269e+04,2.270e+05
87.1,4.315e+04,1.447e+05,1.327e+04,2.011e+05
88.7,3.884e+04,1.265e+05,1.487e+04,1.802e+05
90.2,3.185e+04,1.107e+05,1.377e+04,1.564e+05
91.7,2.481e+04,9.803e+04,9.601e+03,1.324e+05
93.2,2.007e+04,9.635e+04,6.482e+03,1.229e+05
94.8,1.703e+04,9.753e+04,5.045e+03,1.196e+05
96.3,1.431e+04,9.627e+04,3.389e+03,1.140e+05
97.8,1.133e+04,9.753e+04,2.562e+03,1.114e+05
