freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.868e+01,1.054e+02,3.369e+02,5.009e+02
1.5,9.450e+01,1.997e+02,2.413e+02,5.356e+02
3.1,8.190e+01,1.445e+02,7.897e+01,3.054e+02
4.6,9.118e+01,1.411e+02,3.841e+02,6.164e+02
6.1,8.784e+01,1.600e+02,1.313e+03,1.560e+03
7.6,8.414e+01,1.630e+02,2.030e+03,2.277e+03
9.2,8.233e+01,1.637e+02,2.699e+03,2.945e+03
10.7,8.541e+01,1.523e+02,3.690e+03,3.927e+03
12.2,8.275e+01,1.325e+02,4.779e+03,4.994e+03
13.8,8.434e+01,1.291e+02,6.077e+03,6.291e+03
15.3,9.734e+01,1.419e+02,7.723e+03,7.962e+03
16.8,1.116e+02,1.752e+02,9.579e+03,9.866e+03
18.3,1.157e+02,1.936e+02,1.147e+04,1.178e+04
19.9,1.064e+02,2.062e+02,1.393e+04,1.424e+04
21.4,1.186e+02,2.248e+02,1.706e+04,1.740e+04
22.9,1.350e+02,1.950e+02,2.044e+04,2.077e+04
24.5,1.164e+02,1.743e+02,2.431e+04,2.460e+04
26.0,1.095e+02,1.719e+02,2.876e+04,2.904e+04
27.5,1.109e+02,1.769e+02,3.435e+04,3.464e+04
29.1,1.289e+02,1.853e+02,4.128e+04,4.159e+04
30.6,1.470e+02,2.146e+02,4.894e+04,4.930e+04
32.1,1.896e+02,2.603e+02,5.828e+04,5.873e+04
33.6,2.443e+02,2.879e+02,7.041e+04,7.094e+04
35.2,3.279e+02,3.429e+02,8.802e+04,8.869e+04
36.7,3.660e+02,4.464e+02,9.809e+04,9.890e+04
38.2,2.452e+02,4.181e+02,9.535e+04,9.601e+04
39.8,1.556e+02,3.512e+02,8.402e+04,8.453e+04
41.3,1.610e+02,3.559e+02,7.467e+04,7.519e+04
42.8,3.182e+02,3.731e+02,6.760e+04,6.829e+04
44.3,4.827e+02,4.726e+02,6.117e+04,6.213e+04
45.9,5.770e+02,6.743e+02,5.691e+04,5.817e+04
47.4,6.995e+02,8.684e+02,5.571e+04,5.728e+04
48.9,1.008e+03,1.355e+03,6.030e+04,6.266e+04
50.5,1.557e+03,2.306e+03,7.634e+04,8.020e+04
52.0,1.900e+03,5.580e+03,1.133e+05,1.208e+05
53.5,2.571e+03,1.180e+04,1.478e+05,1.622e+05
55.0,7.735e+03,1.295e+04,1.527e+05,1.734e+05
56.6,1.407e+04,8.204e+03,1.593e+05,1.816e+05
58.1,1.912e+04,3.945e+03,2.089e+05,2.320e+05
59.6,2.380e+04,1.147e+04,2.744e+05,3.097e+05
61.2,2.951e+04,3.590e+04,2.616e+05,3.270e+05
62.7,3.532e+04,5.521e+04,2.183e+05,3.088e+05
64.2,3.269e+04,6.060e+04,2.007e+05,2.939e+05
65.8,2.868e+04,6.510e+04,2.242e+05,3.180e+05
67.3,2.806e+04,7.422e+04,2.615e+05,3.638e+05
68.8,3.460e+04,9.208e+04,2.808e+05,4.075e+05
70.3,4.484e+04,1.225e+05,3.747e+05,5.419e+05
71.9,5.120e+04,1.380e+05,5.452e+05,7.344e+05
73.4,5.116e+04,1.468e+05,7.951e+05,9.930e+05
74.9,5.037e+04,1.597e+05,8.042e+05,1.014e+06
76.5,5.147e+04,1.543e+05,7.329e+05,9.388e+05
78.0,6.271e+04,1.597e+05,1.146e+06,1.368e+06
79.5,6.385e+04,1.395e+05,1.448e+06,1.652e+06
81.0,6.087e+04,1.236e+05,1.352e+06,1.536e+06
82.6,5.908e+04,1.245e+05,1.046e+06,1.230e+06
84.1,5.429e+04,1.258e+05,7.579e+05,9.380e+05
85.6,4.869e+04,1.160e+05,5.057e+05,6.703e+05
87.2,4.715e+04,1.021e+05,3.117e+05,4.609e+05
88.7,4.825e+04,9.655e+04,1.835e+05,3.283e+05
90.2,5.045e+04,9.543e+04,1.182e+05,2.640e+05
91.7,5.096e+04,9.484e+04,8.626e+04,2.321e+05
93.3,5.436e+04,9.510e+04,6.540e+04,2.149e+05
94.8,5.710e+04,9.344e+04,5.161e+04,2.022e+05
96.3,5.827e+04,9.426e+04,4.280e+04,1.953e+05
97.9,5.887e+04,9.350e+04,3.876e+04,1.911e+05
99.4,5.973e+04,9.126e+04,3.919e+04,1.902e+05
100.9,6.121e+04,9.083e+04,4.252e+04,1.946e+05
102.5,6.316e+04,9.102e+04,4.777e+04,2.019e+05
104.0,6.039e+04,8.636e+04,5.257e+04,1.993e+05
105.5,5.685e+04,7.949e+04,5.764e+04,1.940e+05
107.0,6.144e+04,8.149e+04,6.586e+04,2.088e+05
108.6,6.621e+04,8.213e+04,7.312e+04,2.215e+05
110.1,7.182e+04,8.315e+04,8.155e+04,2.365e+05
111.6,7.919e+04,8.805e+04,9.651e+04,2.637e+05
113.2,8.824e+04,9.605e+04,1.150e+05,2.993e+05
114.7,9.748e+04,1.100e+05,1.363e+05,3.438e+05
116.2,1.004e+05,1.201e+05,1.503e+05,3.708e+05
117.7,9.707e+04,1.294e+05,1.489e+05,3.754e+05
119.3,1.086e+05,1.464e+05,1.706e+05,4.256e+05
120.8,1.186e+05,1.578e+05,1.941e+05,4.705e+05
122.3,1.293e+05,1.742e+05,2.165e+05,5.200e+05
123.9,1.386e+05,1.824e+05,2.397e+05,5.607e+05
125.4,1.490e+05,1.929e+05,2.794e+05,6.213e+05
126.9,1.636e+05,2.155e+05,3.287e+05,7.078e+05
128.4,1.697e+05,2.238e+05,3.465e+05,7.399e+05
130.0,1.652e+05,2.192e+05,3.247e+05,7.091e+05
131.5,1.570e+05,2.117e+05,3.176e+05,6.863e+05
133.0,7.736e+04,1.090e+05,1.651e+05,3.515e+05
134.6,8.714e+03,1.527e+04,2.393e+04,4.792e+04
136.1,3.179e+03,7.264e+03,1.258e+04,2.302e+04
137.6,3.036e+03,8.907e+03,1.548e+04,2.742e+04
139.1,4.350e+03,1.370e+04,1.828e+04,3.634e+04
140.7,5.538e+03,2.003e+04,1.973e+04,4.529e+04
142.2,5.473e+03,1.792e+04,1.873e+04,4.212e+04
143.7,7.285e+03,1.670e+04,1.996e+04,4.394e+04
145.3,9.553e+03,1.775e+04,2.054e+04,4.784e+04
146.8,1.335e+04,2.122e+04,2.294e+04,5.751e+04
148.3,1.707e+04,2.102e+04,2.524e+04,6.333e+04
149.9,1.815e+04,1.515e+04,2.784e+04,6.114e+04
151.4,1.235e+04,1.239e+04,2.561e+04,5.035e+04
152.9,8.692e+03,2.680e+04,1.999e+04,5.548e+04
154.4,1.289e+04,4.405e+04,2.363e+04,8.057e+04
156.0,1.245e+04,4.613e+04,2.232e+04,8.090e+04
157.5,1.102e+04,4.500e+04,2.208e+04,7.810e+04
159.0,9.489e+03,4.285e+04,2.290e+04,7.524e+04
160.6,9.088e+03,4.489e+04,2.556e+04,7.954e+04
162.1,1.039e+04,4.797e+04,3.259e+04,9.095e+04
163.6,1.244e+04,5.078e+04,4.234e+04,1.056e+05
165.1,1.398e+04,4.804e+04,5.157e+04,1.136e+05
166.7,1.717e+04,4.836e+04,6.566e+04,1.312e+05
168.2,2.069e+04,4.801e+04,8.177e+04,1.505e+05
169.7,2.626e+04,4.683e+04,1.036e+05,1.767e+05
171.3,3.244e+04,4.720e+04,1.254e+05,2.051e+05
172.8,4.101e+04,4.360e+04,1.536e+05,2.382e+05
174.3,5.250e+04,3.950e+04,1.885e+05,2.805e+05
175.8,5.989e+04,3.688e+04,2.024e+05,2.991e+05
177.4,5.885e+04,3.295e+04,1.912e+05,2.830e+05
178.9,6.178e+04,3.099e+04,1.949e+05,2.876e+05
180.4,6.408e+04,3.157e+04,1.972e+05,2.929e+05
182.0,6.168e+04,3.053e+04,1.827e+05,2.749e+05
183.5,5.879e+04,2.748e+04,1.705e+05,2.568e+05
185.0,5.734e+04,2.734e+04,1.617e+05,2.464e+05
186.6,5.324e+04,2.861e+04,1.461e+05,2.279e+05
188.1,4.549e+04,2.742e+04,1.267e+05,1.997e+05
189.6,4.160e+04,2.665e+04,1.160e+05,1.842e+05
191.1,3.945e+04,2.705e+04,1.102e+05,1.767e+05
192.7,3.780e+04,2.767e+04,1.030e+05,1.684e+05
194.2,3.727e+04,2.930e+04,9.540e+04,1.620e+05
195.7,3.617e+04,2.967e+04,8.837e+04,1.542e+05
197.3,3.563e+04,2.950e+04,8.528e+04,1.504e+05
198.8,3.632e+04,2.955e+04,8.703e+04,1.529e+05
