freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.954e+01,2.617e+02,2.461e+01,3.259e+02
1.5,5.025e+01,1.657e+02,7.510e+01,2.911e+02
3.1,3.226e+01,3.273e+01,6.095e+01,1.259e+02
4.6,3.227e+01,3.113e+02,6.199e+01,4.055e+02
6.1,2.840e+01,1.132e+03,6.210e+01,1.222e+03
7.7,3.017e+01,1.892e+03,6.887e+01,1.991e+03
9.2,3.914e+01,2.754e+03,7.687e+01,2.870e+03
10.7,4.058e+01,3.856e+03,8.954e+01,3.987e+03
12.2,3.426e+01,5.300e+03,1.021e+02,5.436e+03
13.8,3.299e+01,7.434e+03,1.062e+02,7.573e+03
15.3,4.221e+01,1.000e+04,1.158e+02,1.016e+04
16.8,5.279e+01,1.115e+04,1.413e+02,1.134e+04
18.4,4.138e+01,1.158e+04,1.167e+02,1.173e+04
19.9,6.204e+01,1.490e+04,9.461e+01,1.505e+04
21.4,1.435e+02,1.886e+04,1.032e+02,1.910e+04
23.0,1.705e+02,2.171e+04,1.129e+02,2.200e+04
24.5,1.125e+02,2.686e+04,1.078e+02,2.708e+04
26.0,7.133e+01,3.491e+04,1.122e+02,3.509e+04
27.6,5.120e+01,4.589e+04,1.161e+02,4.605e+04
29.1,3.980e+01,5.624e+04,1.046e+02,5.639e+04
30.6,3.759e+01,7.146e+04,1.067e+02,7.160e+04
32.2,5.184e+01,1.019e+05,2.310e+02,1.021e+05
33.7,5.643e+01,1.549e+05,6.489e+02,1.556e+05
35.2,1.167e+02,2.555e+05,2.911e+03,2.585e+05
36.7,8.165e+02,3.669e+05,4.161e+03,3.719e+05
38.3,5.253e+03,3.944e+05,3.102e+03,4.028e+05
39.8,2.501e+04,3.699e+05,3.630e+03,3.986e+05
41.3,5.230e+04,2.682e+05,3.318e+03,3.238e+05
42.9,4.178e+04,2.004e+05,3.630e+03,2.458e+05
44.4,1.578e+04,1.624e+05,4.015e+03,1.822e+05
45.9,7.184e+03,1.058e+05,3.252e+03,1.162e+05
47.5,4.593e+03,6.192e+04,3.159e+03,6.967e+04
49.0,4.867e+03,3.916e+04,5.806e+03,4.983e+04
50.5,1.449e+04,4.113e+04,1.008e+04,6.569e+04
52.1,2.165e+04,4.517e+04,1.093e+04,7.775e+04
53.6,1.389e+04,4.360e+04,1.416e+04,7.166e+04
55.1,7.396e+03,3.269e+04,1.221e+04,5.229e+04
56.6,1.297e+04,2.150e+04,8.750e+03,4.322e+04
58.2,4.200e+04,2.976e+04,8.667e+03,8.043e+04
59.7,7.880e+04,1.031e+05,9.543e+03,1.914e+05
61.2,1.154e+05,2.564e+05,1.240e+04,3.842e+05
62.8,1.454e+05,4.092e+05,1.729e+04,5.718e+05
64.3,1.547e+05,4.633e+05,1.587e+04,6.338e+05
65.8,1.560e+05,4.415e+05,1.021e+04,6.077e+05
67.4,1.498e+05,3.956e+05,8.249e+03,5.537e+05
68.9,1.278e+05,3.198e+05,7.403e+03,4.550e+05
70.4,1.003e+05,2.635e+05,9.418e+03,3.733e+05
72.0,7.681e+04,2.254e+05,1.391e+04,3.161e+05
73.5,5.680e+04,1.891e+05,1.270e+04,2.586e+05
75.0,5.169e+04,1.988e+05,7.436e+03,2.579e+05
76.6,5.334e+04,2.381e+05,1.480e+04,3.062e+05
78.1,5.681e+04,2.848e+05,2.834e+04,3.699e+05
79.6,5.535e+04,2.920e+05,3.442e+04,3.818e+05
81.1,5.328e+04,2.633e+05,3.495e+04,3.515e+05
82.7,4.838e+04,2.110e+05,3.933e+04,2.987e+05
84.2,4.299e+04,1.751e+05,4.339e+04,2.615e+05
85.7,3.683e+04,1.421e+05,4.077e+04,2.197e+05
87.3,3.185e+04,1.069e+05,3.471e+04,1.735e+05
88.8,2.718e+04,8.933e+04,2.790e+04,1.444e+05
90.3,2.281e+04,8.420e+04,2.352e+04,1.305e+05
91.9,1.934e+04,8.937e+04,1.862e+04,1.273e+05
93.4,1.693e+04,9.987e+04,1.351e+04,1.303e+05
94.9,1.521e+04,1.053e+05,1.002e+04,1.305e+05
96.5,1.368e+04,1.030e+05,8.438e+03,1.252e+05
98.0,1.146e+04,9.729e+04,7.491e+03,1.162e+05
99.5,9.966e+03,9.522e+04,7.069e+03,1.123e+05
101.0,9.327e+03,9.352e+04,7.536e+03,1.104e+05
102.6,8.681e+03,8.932e+04,8.350e+03,1.063e+05
