freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.975e+01,4.656e+02,1.273e+02,6.127e+02
1.5,2.103e+01,2.709e+02,1.057e+02,3.977e+02
3.1,1.458e+01,2.430e+01,4.365e+01,8.253e+01
4.6,1.469e+01,3.203e+02,4.380e+01,3.788e+02
6.1,1.429e+01,1.265e+03,5.131e+01,1.331e+03
7.7,2.374e+01,2.214e+03,5.598e+01,2.294e+03
9.2,4.496e+01,2.999e+03,5.364e+01,3.098e+03
10.7,6.176e+01,4.382e+03,7.757e+01,4.521e+03
12.3,9.909e+01,5.442e+03,1.199e+02,5.661e+03
13.8,7.480e+01,6.012e+03,8.837e+01,6.175e+03
15.3,5.881e+01,7.968e+03,6.100e+01,8.088e+03
16.9,6.703e+01,1.011e+04,8.549e+01,1.026e+04
18.4,4.739e+01,1.256e+04,1.512e+02,1.275e+04
19.9,3.356e+01,1.600e+04,2.540e+02,1.629e+04
21.4,4.087e+01,2.030e+04,2.441e+02,2.059e+04
23.0,4.720e+01,2.615e+04,2.250e+02,2.642e+04
24.5,5.980e+01,3.398e+04,4.285e+02,3.447e+04
26.0,7.015e+01,4.309e+04,7.667e+02,4.393e+04
27.6,1.019e+02,5.586e+04,1.244e+03,5.721e+04
29.1,1.383e+02,7.434e+04,2.055e+03,7.653e+04
30.6,1.688e+02,1.033e+05,3.515e+03,1.070e+05
32.2,2.602e+02,1.529e+05,6.460e+03,1.596e+05
33.7,4.478e+02,2.550e+05,1.344e+04,2.689e+05
35.2,9.528e+02,4.951e+05,3.280e+04,5.288e+05
36.8,2.510e+03,1.067e+06,9.190e+04,1.162e+06
38.3,3.926e+03,1.459e+06,1.566e+05,1.620e+06
39.8,2.008e+03,1.214e+06,1.558e+05,1.372e+06
41.4,5.510e+02,8.466e+05,1.245e+05,9.716e+05
42.9,1.616e+03,5.384e+05,8.762e+04,6.276e+05
44.4,3.314e+03,3.638e+05,6.749e+04,4.346e+05
46.0,9.249e+03,2.849e+05,7.348e+04,3.676e+05
47.5,4.675e+04,1.697e+05,9.769e+04,3.141e+05
49.0,1.317e+05,5.961e+04,1.213e+05,3.126e+05
50.6,1.344e+05,4.279e+04,1.112e+05,2.884e+05
52.1,7.888e+04,6.519e+04,1.054e+05,2.494e+05
53.6,4.166e+04,7.599e+04,1.226e+05,2.403e+05
55.1,2.475e+04,7.376e+04,1.518e+05,2.503e+05
56.7,1.554e+04,5.587e+04,1.583e+05,2.297e+05
58.2,1.226e+04,2.443e+04,1.164e+05,1.530e+05
59.7,1.079e+04,1.165e+04,8.148e+04,1.039e+05
61.3,8.677e+03,1.474e+04,6.317e+04,8.658e+04
62.8,6.309e+03,2.134e+04,6.203e+04,8.968e+04
64.3,3.918e+03,2.299e+04,8.223e+04,1.091e+05
65.9,1.898e+03,1.715e+04,1.100e+05,1.290e+05
67.4,2.978e+03,9.533e+03,1.217e+05,1.342e+05
68.9,1.129e+04,5.910e+03,1.427e+05,1.599e+05
70.5,2.099e+04,5.413e+03,2.445e+05,2.709e+05
72.0,1.685e+04,7.065e+03,3.103e+05,3.342e+05
73.5,8.376e+03,1.190e+04,2.476e+05,2.679e+05
75.1,4.071e+03,1.850e+04,1.724e+05,1.950e+05
76.6,2.121e+03,2.462e+04,1.151e+05,1.418e+05
78.1,1.110e+03,2.531e+04,6.836e+04,9.479e+04
79.7,7.952e+02,1.833e+04,4.781e+04,6.693e+04
81.2,1.099e+03,9.879e+03,6.792e+04,7.890e+04
82.7,1.750e+03,5.525e+03,1.139e+05,1.212e+05
84.3,1.940e+03,6.564e+03,1.565e+05,1.650e+05
85.8,1.662e+03,1.005e+04,1.825e+05,1.942e+05
87.3,1.308e+03,1.339e+04,1.887e+05,2.034e+05
88.9,1.374e+03,1.525e+04,1.772e+05,1.938e+05
90.4,2.197e+03,1.567e+04,1.326e+05,1.504e+05
91.9,2.709e+03,1.709e+04,8.463e+04,1.044e+05
93.4,2.494e+03,2.036e+04,7.064e+04,9.350e+04
95.0,2.194e+03,2.418e+04,7.623e+04,1.026e+05
96.5,2.062e+03,2.781e+04,8.497e+04,1.148e+05
98.0,1.954e+03,3.047e+04,9.117e+04,1.236e+05
99.6,1.512e+03,3.216e+04,9.117e+04,1.248e+05
101.1,9.132e+02,3.315e+04,8.488e+04,1.189e+05
102.6,5.795e+02,3.338e+04,7.627e+04,1.102e+05
104.2,4.080e+02,3.203e+04,6.586e+04,9.830e+04
105.7,3.127e+02,3.033e+04,5.710e+04,8.774e+04
107.2,2.468e+02,3.023e+04,5.491e+04,8.539e+04
108.8,2.113e+02,3.027e+04,5.553e+04,8.601e+04
110.3,1.709e+02,2.964e+04,5.583e+04,8.563e+04
111.8,1.368e+02,2.852e+04,5.667e+04,8.533e+04
113.4,1.031e+02,2.679e+04,5.781e+04,8.471e+04
114.9,8.806e+01,2.460e+04,5.895e+04,8.364e+04
116.4,9.978e+01,2.237e+04,6.136e+04,8.383e+04
118.0,1.639e+02,2.029e+04,6.393e+04,8.439e+04
119.5,3.229e+02,1.948e+04,6.202e+04,8.182e+04
121.0,5.654e+02,2.149e+04,5.146e+04,7.352e+04
122.6,6.693e+02,2.636e+04,3.337e+04,6.040e+04
124.1,5.968e+02,3.005e+04,1.766e+04,4.830e+04
125.6,4.468e+02,3.062e+04,1.015e+04,4.122e+04
127.1,3.438e+02,2.939e+04,7.897e+03,3.763e+04
128.7,3.590e+02,2.857e+04,7.129e+03,3.606e+04
130.2,3.431e+02,2.893e+04,6.301e+03,3.557e+04
131.7,2.253e+02,2.665e+04,6.364e+03,3.324e+04
133.3,1.060e+02,1.204e+04,3.539e+03,1.569e+04
134.8,3.234e+01,1.307e+03,9.610e+02,2.300e+03
136.3,2.497e+01,5.191e+02,7.037e+02,1.248e+03
137.9,2.325e+01,4.120e+02,6.383e+02,1.074e+03
139.4,2.227e+01,4.293e+02,5.448e+02,9.963e+02
140.9,2.066e+01,5.014e+02,4.493e+02,9.713e+02
142.5,1.739e+01,5.364e+02,4.069e+02,9.607e+02
144.0,1.852e+01,5.478e+02,3.462e+02,9.125e+02
145.5,2.277e+01,5.384e+02,2.831e+02,8.442e+02
147.1,2.478e+01,4.871e+02,3.381e+02,8.500e+02
148.6,2.496e+01,4.972e+02,4.082e+02,9.303e+02
150.1,3.339e+01,5.977e+02,3.494e+02,9.805e+02
151.7,4.342e+01,5.083e+02,2.073e+02,7.590e+02
153.2,6.486e+01,3.963e+02,1.335e+02,5.947e+02
154.7,9.603e+01,3.333e+02,1.196e+02,5.489e+02
156.3,1.361e+02,3.180e+02,1.821e+02,6.361e+02
157.8,1.961e+02,3.063e+02,2.713e+02,7.737e+02
159.3,2.288e+02,2.971e+02,3.496e+02,8.754e+02
160.9,2.462e+02,2.900e+02,3.696e+02,9.058e+02
162.4,2.428e+02,2.960e+02,4.062e+02,9.450e+02
163.9,2.075e+02,2.913e+02,4.794e+02,9.782e+02
165.4,1.907e+02,2.951e+02,4.846e+02,9.704e+02
167.0,1.847e+02,3.066e+02,4.598e+02,9.511e+02
168.5,1.674e+02,3.235e+02,4.199e+02,9.108e+02
170.0,1.463e+02,3.658e+02,3.951e+02,9.071e+02
171.6,1.371e+02,4.038e+02,3.620e+02,9.029e+02
173.1,1.229e+02,3.789e+02,3.484e+02,8.502e+02
174.6,9.425e+01,3.637e+02,3.412e+02,7.992e+02
176.2,7.299e+01,3.711e+02,3.051e+02,7.492e+02
177.7,5.840e+01,3.502e+02,2.739e+02,6.825e+02
179.2,4.487e+01,3.596e+02,2.416e+02,6.461e+02
180.8,3.628e+01,3.788e+02,1.970e+02,6.121e+02
182.3,5.229e+01,4.784e+02,1.885e+02,7.192e+02
183.8,5.679e+01,5.961e+02,1.657e+02,8.187e+02
185.4,4.682e+01,7.142e+02,1.465e+02,9.075e+02
186.9,6.040e+01,8.354e+02,2.033e+02,1.099e+03
188.4,7.090e+01,8.222e+02,2.929e+02,1.186e+03
190.0,7.510e+01,6.583e+02,4.431e+02,1.176e+03
191.5,8.190e+01,5.092e+02,7.600e+02,1.351e+03
193.0,9.892e+01,3.896e+02,1.104e+03,1.593e+03
194.6,1.258e+02,3.508e+02,1.586e+03,2.063e+03
196.1,1.580e+02,3.739e+02,2.248e+03,2.780e+03
197.6,1.796e+02,3.746e+02,2.644e+03,3.198e+03
199.1,1.647e+02,3.515e+02,2.525e+03,3.041e+03
