freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.861e+01,2.877e+02,1.595e+01,3.523e+02
1.5,6.338e+01,1.685e+02,3.994e+01,2.718e+02
3.1,4.128e+01,2.436e+01,4.110e+01,1.067e+02
4.6,3.558e+01,3.074e+02,4.167e+01,3.847e+02
6.1,3.064e+01,1.160e+03,4.613e+01,1.237e+03
7.6,3.215e+01,1.955e+03,5.486e+01,2.042e+03
9.2,3.113e+01,2.836e+03,5.740e+01,2.925e+03
10.7,2.968e+01,3.915e+03,5.255e+01,3.997e+03
12.2,3.193e+01,5.255e+03,5.948e+01,5.346e+03
13.8,3.534e+01,7.303e+03,6.977e+01,7.408e+03
15.3,4.567e+01,9.785e+03,9.740e+01,9.928e+03
16.8,6.069e+01,1.086e+04,1.331e+02,1.106e+04
18.4,4.767e+01,1.142e+04,1.023e+02,1.157e+04
19.9,6.145e+01,1.458e+04,7.534e+01,1.472e+04
21.4,1.430e+02,1.843e+04,9.321e+01,1.866e+04
22.9,1.650e+02,2.142e+04,9.043e+01,2.167e+04
24.5,1.135e+02,2.665e+04,8.386e+01,2.685e+04
26.0,7.646e+01,3.457e+04,8.786e+01,3.473e+04
27.5,5.754e+01,4.531e+04,9.735e+01,4.547e+04
29.1,4.746e+01,5.544e+04,8.931e+01,5.557e+04
30.6,4.475e+01,7.045e+04,8.600e+01,7.058e+04
32.1,4.802e+01,1.002e+05,1.769e+02,1.005e+05
33.6,6.417e+01,1.513e+05,5.414e+02,1.519e+05
35.2,2.016e+02,2.414e+05,2.313e+03,2.440e+05
36.7,1.193e+03,3.537e+05,3.357e+03,3.582e+05
38.2,6.094e+03,4.011e+05,2.509e+03,4.097e+05
39.8,2.331e+04,3.758e+05,2.750e+03,4.018e+05
41.3,4.883e+04,2.743e+05,2.357e+03,3.254e+05
42.8,4.477e+04,1.969e+05,2.459e+03,2.441e+05
44.4,1.886e+04,1.535e+05,3.133e+03,1.755e+05
45.9,8.110e+03,1.034e+05,3.049e+03,1.145e+05
47.4,5.465e+03,6.152e+04,3.381e+03,7.036e+04
48.9,5.501e+03,3.812e+04,5.769e+03,4.939e+04
50.5,1.442e+04,3.737e+04,9.614e+03,6.140e+04
52.0,2.495e+04,4.234e+04,9.683e+03,7.697e+04
53.5,2.188e+04,3.920e+04,1.145e+04,7.253e+04
55.1,1.381e+04,2.964e+04,1.012e+04,5.356e+04
