freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.911e+01,3.825e+01,4.372e+02,5.145e+02
1.5,3.456e+01,3.954e+01,2.742e+02,3.483e+02
3.0,1.714e+01,2.375e+01,5.056e+01,9.145e+01
4.5,1.908e+01,2.350e+01,4.182e+02,4.608e+02
6.0,2.013e+01,2.379e+01,1.609e+03,1.653e+03
7.5,1.997e+01,2.735e+01,2.731e+03,2.778e+03
9.1,1.866e+01,3.354e+01,3.661e+03,3.714e+03
10.6,2.002e+01,4.418e+01,5.175e+03,5.239e+03
12.1,2.655e+01,5.685e+01,6.807e+03,6.891e+03
13.6,3.214e+01,4.054e+01,8.483e+03,8.556e+03
15.1,3.068e+01,2.723e+01,1.098e+04,1.104e+04
16.6,4.601e+01,3.218e+01,1.319e+04,1.327e+04
18.1,9.289e+01,4.153e+01,1.566e+04,1.579e+04
19.6,1.089e+02,5.595e+01,1.936e+04,1.952e+04
21.1,9.372e+01,7.555e+01,2.414e+04,2.431e+04
22.6,1.180e+02,1.058e+02,2.982e+04,3.004e+04
24.1,1.940e+02,1.645e+02,3.638e+04,3.673e+04
25.6,1.985e+02,2.097e+02,4.154e+04,4.195e+04
27.2,2.097e+02,2.915e+02,4.819e+04,4.869e+04
28.7,2.443e+02,4.283e+02,5.773e+04,5.840e+04
30.2,3.529e+02,6.463e+02,7.016e+04,7.116e+04
31.7,4.910e+02,9.034e+02,8.450e+04,8.589e+04
33.2,6.275e+02,1.338e+03,1.015e+05,1.034e+05
34.7,7.457e+02,2.032e+03,1.233e+05,1.260e+05
36.2,9.048e+02,2.812e+03,1.463e+05,1.500e+05
37.7,1.046e+03,3.397e+03,1.702e+05,1.747e+05
39.2,1.110e+03,3.785e+03,1.920e+05,1.969e+05
40.7,1.265e+03,4.505e+03,2.228e+05,2.285e+05
42.2,1.521e+03,5.496e+03,2.775e+05,2.845e+05
43.8,1.715e+03,6.802e+03,3.515e+05,3.601e+05
45.3,1.766e+03,9.875e+03,4.774e+05,4.891e+05
46.8,2.450e+03,1.236e+04,5.023e+05,5.171e+05
48.3,4.263e+03,1.348e+04,4.292e+05,4.470e+05
49.8,5.643e+03,1.797e+04,4.846e+05,5.082e+05
51.3,7.339e+03,2.926e+04,6.886e+05,7.252e+05
52.8,1.095e+04,4.758e+04,9.908e+05,1.049e+06
54.3,1.710e+04,6.388e+04,1.182e+06,1.263e+06
55.8,2.246e+04,6.936e+04,1.132e+06,1.224e+06
57.3,2.528e+04,6.353e+04,9.062e+05,9.950e+05
58.8,2.759e+04,5.567e+04,6.603e+05,7.435e+05
60.3,2.809e+04,5.015e+04,4.936e+05,5.718e+05
61.9,2.639e+04,4.429e+04,3.425e+05,4.131e+05
63.4,2.388e+04,3.880e+04,2.301e+05,2.928e+05
64.9,2.046e+04,3.196e+04,1.404e+05,1.928e+05
66.4,2.008e+04,2.668e+04,8.248e+04,1.292e+05
67.9,2.468e+04,2.604e+04,5.086e+04,1.016e+05
69.4,2.813e+04,3.000e+04,3.843e+04,9.656e+04
70.9,2.945e+04,3.560e+04,3.780e+04,1.028e+05
72.4,3.094e+04,3.840e+04,3.248e+04,1.018e+05
73.9,3.626e+04,4.180e+04,2.488e+04,1.029e+05
75.4,4.228e+04,4.495e+04,1.900e+04,1.062e+05
76.9,4.963e+04,4.994e+04,1.540e+04,1.150e+05
78.5,5.437e+04,5.245e+04,1.355e+04,1.204e+05
80.0,5.479e+04,5.130e+04,1.237e+04,1.185e+05
81.5,5.319e+04,4.851e+04,1.151e+04,1.132e+05
83.0,4.626e+04,4.133e+04,1.209e+04,9.969e+04
84.5,3.967e+04,3.499e+04,1.293e+04,8.759e+04
86.0,3.664e+04,3.182e+04,1.451e+04,8.297e+04
87.5,3.457e+04,2.933e+04,1.646e+04,8.036e+04
89.0,3.380e+04,2.786e+04,1.891e+04,8.056e+04
90.5,3.400e+04,2.727e+04,2.147e+04,8.273e+04
92.0,3.513e+04,2.790e+04,2.345e+04,8.649e+04
93.5,3.631e+04,2.868e+04,2.559e+04,9.058e+04
95.0,3.766e+04,2.974e+04,2.876e+04,9.617e+04
96.6,4.017e+04,3.110e+04,3.254e+04,1.038e+05
98.1,4.352e+04,3.246e+04,3.693e+04,1.129e+05
99.6,4.668e+04,3.297e+04,4.390e+04,1.236e+05
101.1,4.922e+04,3.247e+04,5.300e+04,1.347e+05
102.6,5.129e+04,3.131e+04,6.336e+04,1.460e+05
104.1,5.529e+04,3.142e+04,7.539e+04,1.621e+05
105.6,6.166e+04,3.284e+04,8.996e+04,1.845e+05
107.1,6.686e+04,3.338e+04,1.055e+05,2.058e+05
108.6,7.176e+04,3.503e+04,1.228e+05,2.296e+05
110.1,7.562e+04,3.608e+04,1.383e+05,2.500e+05
111.6,8.511e+04,3.681e+04,1.593e+05,2.813e+05
113.2,9.587e+04,3.902e+04,1.836e+05,3.185e+05
114.7,1.066e+05,4.086e+04,2.094e+05,3.568e+05
116.2,1.181e+05,4.250e+04,2.444e+05,4.050e+05
117.7,1.309e+05,4.473e+04,2.815e+05,4.572e+05
119.2,1.493e+05,4.837e+04,3.272e+05,5.249e+05
120.7,1.711e+05,5.195e+04,3.816e+05,6.046e+05
122.2,1.946e+05,5.495e+04,4.445e+05,6.941e+05
123.7,2.229e+05,5.692e+04,5.279e+05,8.077e+05
125.2,2.567e+05,5.740e+04,6.360e+05,9.501e+05
126.7,2.978e+05,5.798e+04,7.827e+05,1.138e+06
128.2,3.449e+05,6.136e+04,9.734e+05,1.380e+06
129.7,3.939e+05,7.339e+04,1.172e+06,1.639e+06
131.3,4.211e+05,9.956e+04,1.293e+06,1.814e+06
132.8,2.847e+05,8.169e+04,8.793e+05,1.246e+06
134.3,5.631e+04,1.326e+04,1.562e+05,2.257e+05
135.8,2.384e+04,2.443e+03,5.378e+04,8.006e+04
137.3,2.276e+04,3.258e+03,5.314e+04,7.916e+04
138.8,2.192e+04,4.275e+03,5.369e+04,7.989e+04
140.3,2.135e+04,5.848e+03,5.473e+04,8.193e+04
141.8,2.183e+04,7.887e+03,5.674e+04,8.646e+04
143.3,2.444e+04,9.010e+03,6.462e+04,9.807e+04
144.8,2.551e+04,9.875e+03,7.013e+04,1.055e+05
146.3,2.654e+04,1.182e+04,7.644e+04,1.148e+05
147.8,2.769e+04,1.582e+04,8.275e+04,1.263e+05
149.4,2.536e+04,1.854e+04,7.966e+04,1.236e+05
150.9,2.486e+04,2.147e+04,8.098e+04,1.273e+05
152.4,2.598e+04,2.409e+04,8.517e+04,1.352e+05
153.9,3.027e+04,2.436e+04,9.762e+04,1.523e+05
155.4,3.290e+04,2.470e+04,1.059e+05,1.635e+05
156.9,3.327e+04,2.706e+04,1.079e+05,1.682e+05
158.4,3.429e+04,2.947e+04,1.127e+05,1.765e+05
159.9,3.653e+04,3.137e+04,1.241e+05,1.920e+05
161.4,3.598e+04,2.903e+04,1.228e+05,1.878e+05
162.9,3.228e+04,2.508e+04,1.081e+05,1.655e+05
164.4,2.904e+04,2.353e+04,9.565e+04,1.482e+05
166.0,2.946e+04,2.359e+04,9.328e+04,1.463e+05
167.5,3.043e+04,2.205e+04,9.115e+04,1.436e+05
169.0,2.716e+04,2.014e+04,7.452e+04,1.218e+05
170.5,2.218e+04,1.904e+04,5.481e+04,9.603e+04
172.0,2.062e+04,1.826e+04,4.506e+04,8.393e+04
173.5,2.154e+04,1.977e+04,3.877e+04,8.009e+04
175.0,2.450e+04,2.224e+04,3.771e+04,8.446e+04
176.5,2.855e+04,2.080e+04,4.170e+04,9.104e+04
178.0,3.144e+04,1.928e+04,4.553e+04,9.625e+04
179.5,3.390e+04,1.968e+04,5.012e+04,1.037e+05
181.0,3.546e+04,2.264e+04,5.447e+04,1.126e+05
182.5,3.505e+04,2.748e+04,5.630e+04,1.188e+05
184.1,3.479e+04,3.351e+04,5.886e+04,1.272e+05
185.6,3.555e+04,3.977e+04,6.254e+04,1.379e+05
187.1,3.564e+04,4.560e+04,6.483e+04,1.461e+05
188.6,3.561e+04,5.078e+04,6.643e+04,1.528e+05
190.1,3.510e+04,5.424e+04,6.792e+04,1.573e+05
191.6,3.355e+04,5.368e+04,6.601e+04,1.532e+05
193.1,3.154e+04,5.407e+04,6.290e+04,1.485e+05
194.6,2.879e+04,5.359e+04,5.818e+04,1.406e+05
196.1,2.598e+04,5.225e+04,5.293e+04,1.312e+05
197.6,2.395e+04,5.343e+04,4.954e+04,1.269e+05
199.1,2.434e+04,6.700e+04,5.209e+04,1.434e+05
