freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.390e+01,7.898e+01,2.594e+02,3.923e+02
1.5,1.040e+02,1.242e+02,1.917e+02,4.199e+02
3.1,1.063e+02,1.568e+02,7.957e+01,3.427e+02
4.6,9.976e+01,1.910e+02,3.852e+02,6.759e+02
6.1,9.692e+01,1.679e+02,1.335e+03,1.599e+03
7.6,9.612e+01,1.435e+02,2.079e+03,2.319e+03
9.2,9.640e+01,1.571e+02,2.812e+03,3.066e+03
10.7,9.952e+01,1.719e+02,3.840e+03,4.112e+03
12.2,1.079e+02,1.766e+02,5.012e+03,5.296e+03
13.8,1.173e+02,1.804e+02,6.429e+03,6.727e+03
15.3,1.103e+02,1.727e+02,8.156e+03,8.439e+03
16.8,1.028e+02,1.931e+02,1.014e+04,1.044e+04
18.3,1.042e+02,2.441e+02,1.226e+04,1.261e+04
19.9,1.032e+02,2.785e+02,1.507e+04,1.545e+04
21.4,1.141e+02,2.933e+02,1.854e+04,1.895e+04
22.9,1.237e+02,2.575e+02,2.210e+04,2.248e+04
24.5,1.179e+02,2.219e+02,2.608e+04,2.642e+04
26.0,1.190e+02,2.492e+02,3.076e+04,3.112e+04
27.5,1.203e+02,3.026e+02,3.685e+04,3.727e+04
29.0,1.295e+02,3.754e+02,4.451e+04,4.502e+04
30.6,1.430e+02,4.480e+02,5.369e+04,5.428e+04
32.1,1.957e+02,4.816e+02,6.457e+04,6.525e+04
33.6,2.583e+02,5.832e+02,7.832e+04,7.917e+04
35.1,3.969e+02,8.925e+02,9.830e+04,9.958e+04
36.7,5.551e+02,1.388e+03,1.200e+05,1.220e+05
38.2,5.541e+02,1.918e+03,1.354e+05,1.378e+05
39.7,4.084e+02,2.274e+03,1.422e+05,1.449e+05
41.3,3.047e+02,1.986e+03,1.346e+05,1.369e+05
42.8,5.322e+02,1.505e+03,1.170e+05,1.190e+05
44.3,8.172e+02,1.491e+03,1.010e+05,1.033e+05
45.8,7.149e+02,2.287e+03,9.036e+04,9.337e+04
47.4,5.727e+02,3.215e+03,8.142e+04,8.521e+04
48.9,9.652e+02,3.341e+03,7.603e+04,8.034e+04
50.4,1.862e+03,4.451e+03,8.675e+04,9.306e+04
52.0,2.060e+03,1.164e+04,1.342e+05,1.479e+05
53.5,6.791e+03,2.699e+04,1.867e+05,2.205e+05
55.0,1.639e+04,3.097e+04,1.801e+05,2.274e+05
56.5,2.039e+04,1.990e+04,1.691e+05,2.094e+05
58.1,2.289e+04,8.711e+03,2.269e+05,2.586e+05
59.6,2.250e+04,1.015e+04,3.432e+05,3.758e+05
61.1,2.472e+04,3.453e+04,4.187e+05,4.780e+05
62.7,4.176e+04,7.099e+04,4.455e+05,5.582e+05
64.2,4.866e+04,8.932e+04,3.942e+05,5.321e+05
65.7,3.869e+04,9.226e+04,3.548e+05,4.857e+05
67.2,3.318e+04,9.599e+04,3.371e+05,4.662e+05
68.8,3.767e+04,1.098e+05,3.141e+05,4.616e+05
70.3,4.740e+04,1.347e+05,3.663e+05,5.485e+05
71.8,5.083e+04,1.398e+05,4.921e+05,6.828e+05
73.4,5.587e+04,1.572e+05,6.301e+05,8.432e+05
74.9,5.503e+04,1.502e+05,5.150e+05,7.202e+05
76.4,5.819e+04,1.474e+05,4.053e+05,6.109e+05
77.9,7.484e+04,1.812e+05,5.388e+05,7.948e+05
79.5,7.624e+04,1.800e+05,5.565e+05,8.128e+05
81.0,6.940e+04,1.484e+05,4.618e+05,6.796e+05
82.5,6.618e+04,1.275e+05,3.403e+05,5.339e+05
