freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.254e+01,3.539e+01,6.256e+02,6.936e+02
1.6,5.919e+01,7.117e+01,8.301e+02,9.605e+02
3.1,5.769e+01,6.264e+01,5.314e+02,6.518e+02
4.7,5.997e+01,6.673e+01,8.670e+02,9.937e+02
6.2,5.204e+01,6.948e+01,1.837e+03,1.959e+03
7.8,5.288e+01,6.349e+01,2.539e+03,2.656e+03
9.3,5.931e+01,7.664e+01,3.611e+03,3.747e+03
10.9,5.510e+01,6.737e+01,5.120e+03,5.243e+03
12.5,5.903e+01,6.960e+01,6.423e+03,6.552e+03
14.0,7.667e+01,8.536e+01,9.039e+03,9.201e+03
15.6,7.925e+01,9.987e+01,1.117e+04,1.135e+04
17.1,8.041e+01,9.645e+01,1.420e+04,1.438e+04
18.7,1.081e+02,9.309e+01,1.949e+04,1.969e+04
20.2,8.717e+01,1.086e+02,2.163e+04,2.183e+04
21.8,9.401e+01,1.726e+02,2.605e+04,2.632e+04
23.4,1.625e+02,2.378e+02,3.059e+04,3.099e+04
24.9,2.052e+02,2.941e+02,4.416e+04,4.466e+04
26.5,2.432e+02,3.632e+02,5.709e+04,5.770e+04
28.0,3.895e+02,4.791e+02,7.069e+04,7.156e+04
29.6,7.003e+02,7.217e+02,1.130e+05,1.144e+05
31.1,9.170e+02,8.097e+02,1.383e+05,1.401e+05
32.7,1.861e+03,1.112e+03,1.901e+05,1.931e+05
34.3,7.469e+03,3.207e+03,4.244e+05,4.351e+05
35.8,1.272e+04,8.309e+03,6.960e+05,7.170e+05
37.4,7.517e+03,1.473e+04,9.132e+05,9.355e+05
38.9,1.935e+03,1.608e+04,1.016e+06,1.034e+06
40.5,1.446e+03,1.327e+04,8.696e+05,8.843e+05
42.0,3.330e+03,1.668e+04,1.001e+06,1.021e+06
43.6,4.990e+03,1.648e+04,8.306e+05,8.521e+05
45.2,5.051e+03,1.548e+04,6.592e+05,6.797e+05
46.7,4.290e+03,1.147e+04,4.103e+05,4.260e+05
48.3,4.343e+03,1.328e+04,3.220e+05,3.396e+05
49.8,4.139e+03,1.272e+04,1.964e+05,2.133e+05
51.4,1.022e+04,1.465e+04,1.724e+05,1.972e+05
52.9,1.174e+04,1.593e+04,1.464e+05,1.741e+05
54.5,1.254e+04,1.714e+04,1.159e+05,1.456e+05
56.1,1.332e+04,2.013e+04,1.042e+05,1.376e+05
57.6,1.021e+04,1.848e+04,8.290e+04,1.116e+05
59.2,1.637e+04,2.480e+04,9.608e+04,1.373e+05
60.7,2.993e+04,3.060e+04,9.895e+04,1.595e+05
62.3,4.603e+04,3.292e+04,9.606e+04,1.750e+05
63.8,4.306e+04,2.521e+04,7.700e+04,1.453e+05
65.4,3.655e+04,1.819e+04,7.331e+04,1.280e+05
67.0,3.473e+04,1.516e+04,7.376e+04,1.236e+05
68.5,2.735e+04,1.309e+04,5.698e+04,9.742e+04
70.1,2.740e+04,1.733e+04,5.121e+04,9.595e+04
71.6,4.101e+04,2.280e+04,3.793e+04,1.017e+05
73.2,4.305e+04,2.511e+04,2.912e+04,9.728e+04
74.7,3.963e+04,2.478e+04,2.617e+04,9.059e+04
76.3,5.253e+04,1.525e+04,2.566e+04,9.344e+04
77.9,4.800e+04,8.034e+03,2.091e+04,7.694e+04
79.4,6.403e+04,9.441e+03,2.876e+04,1.022e+05
81.0,5.861e+04,1.150e+04,3.276e+04,1.029e+05
82.5,5.204e+04,2.352e+04,4.568e+04,1.212e+05
84.1,4.237e+04,3.777e+04,5.476e+04,1.349e+05
85.6,3.045e+04,4.059e+04,4.986e+04,1.209e+05
87.2,2.597e+04,6.408e+04,6.340e+04,1.534e+05
88.8,3.287e+04,9.658e+04,8.266e+04,2.121e+05
90.3,3.203e+04,8.618e+04,6.434e+04,1.826e+05
91.9,3.300e+04,8.525e+04,5.741e+04,1.757e+05
93.4,2.903e+04,7.147e+04,4.646e+04,1.470e+05
95.0,2.779e+04,5.268e+04,3.768e+04,1.182e+05
96.5,2.568e+04,4.867e+04,3.752e+04,1.119e+05
98.1,2.177e+04,4.372e+04,3.807e+04,1.036e+05
99.7,1.324e+04,2.694e+04,2.580e+04,6.598e+04
101.2,1.249e+04,2.250e+04,2.175e+04,5.674e+04
102.8,1.534e+04,1.895e+04,1.797e+04,5.226e+04
104.3,1.725e+04,1.601e+04,2.036e+04,5.363e+04
105.9,1.591e+04,1.296e+04,1.823e+04,4.711e+04
107.4,1.681e+04,1.346e+04,1.658e+04,4.685e+04
109.0,1.505e+04,1.341e+04,1.345e+04,4.191e+04
110.6,1.487e+04,1.329e+04,1.318e+04,4.134e+04
112.1,1.616e+04,1.163e+04,1.375e+04,4.153e+04
113.7,1.766e+04,1.125e+04,1.439e+04,4.330e+04
115.2,1.620e+04,1.112e+04,1.311e+04,4.042e+04
116.8,1.411e+04,1.106e+04,1.150e+04,3.666e+04
118.3,1.355e+04,1.200e+04,1.132e+04,3.687e+04
119.9,1.064e+04,9.730e+03,8.615e+03,2.899e+04
121.5,1.331e+04,1.281e+04,1.157e+04,3.769e+04
123.0,1.350e+04,1.189e+04,1.179e+04,3.718e+04
124.6,1.232e+04,1.108e+04,1.141e+04,3.482e+04
126.1,1.191e+04,1.105e+04,1.021e+04,3.318e+04
127.7,1.177e+04,1.043e+04,1.034e+04,3.254e+04
129.2,1.141e+04,8.961e+03,1.103e+04,3.140e+04
130.8,1.209e+04,9.137e+03,1.284e+04,3.406e+04
132.4,1.157e+04,7.049e+03,8.420e+03,2.704e+04
133.9,6.668e+03,2.333e+03,1.164e+03,1.016e+04
135.5,6.225e+03,1.552e+03,7.071e+02,8.484e+03
137.0,8.486e+03,1.972e+03,9.239e+02,1.138e+04
138.6,9.820e+03,1.888e+03,1.150e+03,1.286e+04
140.1,1.174e+04,2.423e+03,1.671e+03,1.583e+04
141.7,1.511e+04,3.611e+03,2.298e+03,2.102e+04
143.3,2.231e+04,3.974e+03,2.835e+03,2.912e+04
144.8,2.434e+04,4.049e+03,2.652e+03,3.104e+04
146.4,2.387e+04,7.219e+03,2.398e+03,3.349e+04
147.9,2.537e+04,1.039e+04,2.771e+03,3.853e+04
149.5,1.862e+04,6.584e+03,2.243e+03,2.744e+04
151.0,2.565e+04,8.311e+03,3.578e+03,3.754e+04
152.6,3.334e+04,1.273e+04,4.079e+03,5.014e+04
154.2,2.764e+04,1.353e+04,2.781e+03,4.395e+04
155.7,2.488e+04,1.210e+04,1.935e+03,3.891e+04
157.3,2.745e+04,1.147e+04,2.498e+03,4.141e+04
158.8,2.698e+04,1.043e+04,2.833e+03,4.024e+04
160.4,2.701e+04,1.012e+04,3.339e+03,4.046e+04
161.9,2.173e+04,9.546e+03,3.026e+03,3.430e+04
163.5,1.550e+04,8.488e+03,2.137e+03,2.613e+04
165.1,1.358e+04,7.187e+03,1.892e+03,2.266e+04
166.6,1.298e+04,6.491e+03,1.888e+03,2.136e+04
168.2,9.312e+03,6.023e+03,1.402e+03,1.674e+04
169.7,8.083e+03,6.409e+03,1.312e+03,1.580e+04
171.3,8.491e+03,7.788e+03,1.484e+03,1.776e+04
172.8,8.778e+03,8.663e+03,1.588e+03,1.903e+04
174.4,6.631e+03,8.033e+03,1.112e+03,1.578e+04
176.0,8.244e+03,1.007e+04,1.793e+03,2.010e+04
177.5,9.348e+03,1.088e+04,2.099e+03,2.233e+04
179.1,1.043e+04,1.108e+04,2.013e+03,2.352e+04
