freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.528e+02,1.719e+03,3.856e+03,6.328e+03
1.2,3.924e+03,9.255e+03,2.475e+04,3.793e+04
2.3,4.276e+03,1.180e+04,3.766e+04,5.374e+04
3.5,3.746e+03,1.283e+04,3.614e+04,5.271e+04
4.7,4.221e+03,1.244e+04,3.276e+04,4.942e+04
5.9,4.276e+03,1.131e+04,4.017e+04,5.576e+04
7.0,4.655e+03,1.192e+04,4.095e+04,5.752e+04
8.2,4.339e+03,1.287e+04,2.903e+04,4.624e+04
9.4,4.394e+03,1.189e+04,3.234e+04,4.862e+04
10.6,3.784e+03,1.329e+04,3.027e+04,4.734e+04
11.7,4.010e+03,1.480e+04,3.513e+04,5.394e+04
12.9,4.013e+03,1.328e+04,3.878e+04,5.607e+04
14.1,4.312e+03,1.218e+04,3.481e+04,5.130e+04
15.3,5.179e+03,1.298e+04,3.748e+04,5.564e+04
16.4,4.045e+03,1.332e+04,4.469e+04,6.205e+04
17.6,2.719e+03,1.159e+04,4.343e+04,5.774e+04
18.8,3.700e+03,1.106e+04,4.178e+04,5.654e+04
20.0,4.371e+03,1.134e+04,6.292e+04,7.863e+04
21.1,3.532e+03,1.296e+04,6.789e+04,8.438e+04
22.3,4.064e+03,1.327e+04,6.625e+04,8.359e+04
23.5,3.755e+03,1.202e+04,7.343e+04,8.921e+04
24.7,4.289e+03,1.291e+04,8.178e+04,9.899e+04
25.8,4.408e+03,1.184e+04,6.710e+04,8.336e+04
27.0,3.975e+03,1.241e+04,7.035e+04,8.674e+04
28.2,4.770e+03,1.325e+04,7.765e+04,9.568e+04
29.4,4.473e+03,1.182e+04,7.991e+04,9.620e+04
30.5,5.316e+03,1.304e+04,8.207e+04,1.004e+05
31.7,4.723e+03,1.802e+04,1.208e+05,1.435e+05
32.9,4.880e+03,1.708e+04,1.291e+05,1.510e+05
34.1,4.586e+03,1.578e+04,1.974e+05,2.178e+05
35.2,6.350e+03,1.492e+04,2.877e+05,3.090e+05
36.4,6.892e+03,1.482e+04,3.905e+05,4.122e+05
37.6,7.089e+03,1.654e+04,4.827e+05,5.064e+05
38.8,6.383e+03,1.591e+04,6.550e+05,6.773e+05
39.9,9.368e+03,1.818e+04,9.063e+05,9.338e+05
41.1,8.465e+03,1.975e+04,6.187e+05,6.469e+05
42.3,1.070e+04,2.270e+04,9.519e+05,9.853e+05
43.5,1.158e+04,2.634e+04,1.630e+06,1.668e+06
44.6,1.233e+04,2.685e+04,1.261e+06,1.301e+06
45.8,1.445e+04,2.947e+04,1.337e+06,1.381e+06
47.0,1.439e+04,3.004e+04,1.259e+06,1.304e+06
