freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.127e+02,3.795e+01,2.685e+01,6.775e+02
1.6,1.069e+03,7.347e+01,5.946e+01,1.202e+03
3.1,1.055e+03,8.319e+01,5.200e+01,1.191e+03
4.7,1.404e+03,9.019e+01,4.666e+01,1.541e+03
6.2,2.282e+03,8.466e+01,5.079e+01,2.418e+03
7.8,3.207e+03,9.214e+01,5.580e+01,3.355e+03
9.3,3.972e+03,8.220e+01,5.371e+01,4.108e+03
10.9,5.075e+03,8.211e+01,5.499e+01,5.212e+03
12.5,6.503e+03,9.401e+01,4.968e+01,6.646e+03
14.0,8.169e+03,8.215e+01,5.212e+01,8.303e+03
15.6,9.899e+03,8.535e+01,5.397e+01,1.004e+04
17.1,1.225e+04,9.336e+01,5.043e+01,1.240e+04
18.7,1.530e+04,9.271e+01,5.955e+01,1.546e+04
20.2,1.866e+04,1.093e+02,6.154e+01,1.883e+04
21.8,2.032e+04,1.049e+02,6.398e+01,2.049e+04
23.4,2.611e+04,1.049e+02,7.241e+01,2.628e+04
24.9,3.079e+04,1.105e+02,8.138e+01,3.099e+04
26.5,3.487e+04,1.041e+02,9.508e+01,3.507e+04
28.0,3.987e+04,1.096e+02,1.179e+02,4.010e+04
29.6,4.796e+04,1.139e+02,1.734e+02,4.825e+04
31.1,6.160e+04,1.089e+02,2.136e+02,6.192e+04
32.7,6.988e+04,1.215e+02,2.582e+02,7.026e+04
34.3,8.931e+04,1.386e+02,3.859e+02,8.984e+04
35.8,1.304e+05,2.059e+02,7.185e+02,1.313e+05
37.4,1.226e+05,2.479e+02,8.300e+02,1.237e+05
38.9,1.423e+05,2.551e+02,9.796e+02,1.435e+05
40.5,1.327e+05,2.717e+02,9.865e+02,1.340e+05
42.1,1.387e+05,2.085e+02,1.221e+03,1.401e+05
43.6,1.723e+05,2.017e+02,2.801e+03,1.753e+05
45.2,1.415e+05,2.396e+02,4.500e+03,1.462e+05
46.7,1.215e+05,3.029e+02,6.370e+03,1.282e+05
48.3,1.093e+05,4.139e+02,8.261e+03,1.180e+05
49.8,9.291e+04,7.328e+02,1.274e+04,1.064e+05
51.4,1.277e+05,2.585e+03,2.433e+04,1.546e+05
53.0,2.035e+05,8.828e+03,3.281e+04,2.452e+05
54.5,2.646e+05,1.459e+04,3.635e+04,3.155e+05
56.1,2.844e+05,1.530e+04,4.493e+04,3.446e+05
57.6,3.553e+05,1.391e+04,6.568e+04,4.349e+05
59.2,4.648e+05,1.249e+04,7.147e+04,5.487e+05
60.7,4.337e+05,9.721e+03,5.392e+04,4.973e+05
62.3,5.633e+05,1.108e+04,5.055e+04,6.250e+05
63.9,6.646e+05,1.161e+04,3.575e+04,7.119e+05
65.4,4.891e+05,7.915e+03,1.479e+04,5.118e+05
67.0,6.175e+05,9.790e+03,8.717e+03,6.360e+05
68.5,8.129e+05,1.677e+04,7.427e+03,8.371e+05
70.1,8.865e+05,2.435e+04,6.210e+03,9.171e+05
71.6,1.042e+06,3.002e+04,5.942e+03,1.078e+06
73.2,1.708e+06,4.307e+04,7.257e+03,1.759e+06
74.8,1.518e+06,3.548e+04,4.669e+03,1.558e+06
76.3,1.631e+06,6.195e+04,6.313e+03,1.699e+06
77.9,2.563e+06,1.167e+05,1.283e+04,2.693e+06
79.4,2.027e+06,9.997e+04,1.103e+04,2.138e+06
81.0,1.291e+06,5.480e+04,5.638e+03,1.351e+06
82.5,7.964e+05,2.488e+04,2.757e+03,8.241e+05
84.1,6.635e+05,2.105e+04,3.063e+03,6.876e+05
85.7,4.842e+05,1.807e+04,4.781e+03,5.071e+05
87.2,3.129e+05,1.524e+04,5.079e+03,3.332e+05
88.8,2.844e+05,2.314e+04,7.309e+03,3.149e+05
90.3,2.799e+05,2.531e+04,8.549e+03,3.137e+05
91.9,2.017e+05,2.293e+04,8.506e+03,2.332e+05
93.4,1.546e+05,2.328e+04,9.341e+03,1.873e+05
95.0,1.364e+05,2.243e+04,1.013e+04,1.690e+05
96.6,1.056e+05,1.860e+04,1.036e+04,1.346e+05
98.1,7.268e+04,1.543e+04,9.509e+03,9.762e+04
99.7,8.495e+04,2.120e+04,1.316e+04,1.193e+05
101.2,8.142e+04,1.559e+04,1.210e+04,1.091e+05
102.8,7.100e+04,1.376e+04,1.093e+04,9.569e+04
104.4,5.933e+04,1.820e+04,1.422e+04,9.175e+04
105.9,5.002e+04,1.717e+04,1.341e+04,8.060e+04
107.5,6.074e+04,2.068e+04,1.580e+04,9.722e+04
109.0,7.837e+04,2.646e+04,1.976e+04,1.246e+05
110.6,7.240e+04,2.368e+04,1.731e+04,1.134e+05
112.1,5.891e+04,2.053e+04,1.402e+04,9.345e+04
113.7,8.301e+04,3.383e+04,2.237e+04,1.392e+05
115.3,9.441e+04,4.017e+04,2.559e+04,1.602e+05
116.8,1.158e+05,4.617e+04,2.828e+04,1.902e+05
118.4,1.155e+05,4.333e+04,2.589e+04,1.847e+05
119.9,1.334e+05,5.075e+04,2.961e+04,2.138e+05
121.5,1.313e+05,5.503e+04,3.037e+04,2.167e+05
123.0,1.604e+05,6.716e+04,3.580e+04,2.633e+05
124.6,1.997e+05,7.894e+04,4.077e+04,3.195e+05
126.2,2.247e+05,8.344e+04,4.247e+04,3.506e+05
127.7,2.665e+05,8.950e+04,4.599e+04,4.020e+05
129.3,2.818e+05,9.143e+04,4.492e+04,4.182e+05
130.8,3.446e+05,1.073e+05,5.025e+04,5.022e+05
132.4,2.519e+05,7.370e+04,3.343e+04,3.590e+05
133.9,4.884e+04,1.776e+04,6.834e+03,7.343e+04
135.5,2.574e+04,1.312e+04,3.564e+03,4.243e+04
137.1,2.841e+04,1.241e+04,3.427e+03,4.424e+04
138.6,2.796e+04,1.200e+04,2.951e+03,4.291e+04
140.2,2.917e+04,1.607e+04,2.914e+03,4.815e+04
141.7,2.880e+04,1.764e+04,2.755e+03,4.919e+04
143.3,2.479e+04,1.702e+04,2.470e+03,4.428e+04
144.8,2.254e+04,1.931e+04,2.405e+03,4.426e+04
146.4,2.583e+04,3.207e+04,2.547e+03,6.045e+04
148.0,2.237e+04,3.636e+04,1.845e+03,6.057e+04
149.5,3.789e+04,4.114e+04,3.071e+03,8.210e+04
151.1,3.609e+04,2.349e+04,3.334e+03,6.292e+04
152.6,2.882e+04,1.286e+04,2.848e+03,4.453e+04
154.2,2.731e+04,6.788e+03,2.840e+03,3.694e+04
155.7,3.486e+04,7.330e+03,4.648e+03,4.684e+04
157.3,3.578e+04,8.031e+03,5.408e+03,4.921e+04
158.9,4.617e+04,9.969e+03,5.276e+03,6.142e+04
160.4,6.604e+04,1.253e+04,5.827e+03,8.440e+04
162.0,7.547e+04,1.349e+04,5.749e+03,9.471e+04
163.5,8.038e+04,1.097e+04,5.245e+03,9.659e+04
165.1,8.221e+04,1.187e+04,5.050e+03,9.913e+04
166.6,8.918e+04,1.327e+04,5.126e+03,1.076e+05
168.2,1.111e+05,9.769e+03,4.294e+03,1.252e+05
169.8,1.361e+05,1.015e+04,4.078e+03,1.504e+05
171.3,1.343e+05,8.912e+03,3.733e+03,1.469e+05
172.9,2.503e+05,1.383e+04,7.483e+03,2.716e+05
174.4,2.656e+05,1.976e+04,8.219e+03,2.935e+05
176.0,1.989e+05,2.154e+04,6.161e+03,2.266e+05
177.6,2.973e+05,3.373e+04,7.939e+03,3.390e+05
179.1,2.348e+05,3.129e+04,6.341e+03,2.724e+05
180.7,3.410e+05,4.708e+04,8.271e+03,3.964e+05
182.2,1.822e+05,2.762e+04,5.651e+03,2.154e+05
